CC Lewis,England,8,53,49,2625,1942,66,4/30,29.42,4.43,39.7,4,0
Maninder Singh,India,10,59,57,3133,2066,66,4/22,31.3,3.95,47.4,1,0
T Panyangara,Zimbabwe,12,65,65,3242,3024,65,3/28,46.52,5.59,49.8,0,0
AL Phehlukwayo,South Africa,3,52,50,2077,1936,65,4/22,29.78,5.59,31.9,3,0
C White,England,9,51,50,2364,1726,65,5/21,26.55,4.38,36.3,1,1
A Zampa,Australia,3,48,48,2480,2363,65,4/43,36.35,5.71,38.1,1,0
A Mishra,India,13,36,34,1917,1511,64,6/48,23.6,4.72,29.9,2,2
DJ Nash,New Zealand,10,81,78,3416,2622,64,4/38,40.96,4.6,53.3,1,0
SM Sharif,SCOT,8,44,44,2129,1776,64,5/33,27.75,5.0,33.2,2,1
AR Cusack,Ireland,8,59,52,1953,1510,63,5/20,23.96,4.63,31.0,1,1
NM Hauritz,Australia,9,58,56,2724,2152,63,4/29,34.15,4.74,43.2,2,0
NL McCullum,New Zealand,6,84,81,3536,2956,63,3/24,46.92,5.01,56.1,0,0
Mujeeb Ur Rahman,Afganisthan,2,40,39,2153,1414,63,5/50,22.44,3.94,34.1,2,1
AD Mullally,England,5,50,49,2699,1728,63,4/18,27.42,3.84,42.8,2,0
SLV Raju,India,6,53,52,2770,2014,63,4/46,31.96,4.36,43.9,2,0
BA Reid,Australia,6,61,61,3250,2203,63,5/53,34.96,4.06,51.5,0,1
Sarfraz Nawaz,Pakisthan,11,45,45,2412,1463,63,4/27,23.22,3.63,38.2,4,0
DE Bollinger,Australia,2,39,39,1942,1482,62,5/35,23.9,4.57,31.3,3,2
SW Tait,Australia,4,35,34,1688,1461,62,4/39,23.56,5.19,27.2,2,0
DT Hondo,Zimbabwe,4,56,56,2381,2171,61,4/37,35.59,5.47,39.0,3,0
DR Smith,West Indies,11,105,73,2726,2285,61,5/45,37.45,5.02,44.6,3,1
Syed Rasel,Bangladesh,5,52,52,2657,2051,61,4/22,33.62,4.63,43.5,1,0
MA Wood,England,4,51,50,2585,2385,61,4/33,39.09,5.53,42.3,2,0
CJ Anderson,New Zealand,4,49,43,1485,1502,60,5/63,25.03,6.06,24.7,2,1
FH Edwards,West Indies,6,50,49,2138,1812,60,6/22,30.2,5.08,35.6,0,2
RM Haq,SCOT,9,54,51,2633,1975,60,5/54,32.91,4.5,43.8,2,1
JC Tredwell,England,5,45,44,2104,1666,60,4/41,27.76,4.75,35.0,3,0
ALF de Mel,Sri Lanka,5,57,57,2735,2237,59,5/32,37.91,4.9,46.3,1,2
NA Foster,England,5,48,48,2627,1836,59,3/20,31.11,4.19,44.5,0,0
Gulbadin Naib,Afganisthan,8,65,60,2194,1968,59,6/43,33.35,5.38,37.1,2,1
Hamid Hassan,Afganisthan,10,38,37,1734,1330,59,5/45,22.54,4.6,29.3,2,1
JDS Neesham,New Zealand,6,59,55,1772,1814,59,5/31,30.74,6.14,30.0,2,1
Shadab Khan,Pakisthan,2,43,41,2088,1750,59,4/28,29.66,5.02,35.3,3,0
Sikandar Raza,Zimbabwe,6,97,71,2846,2269,59,3/21,38.45,4.78,48.2,0,0
Tapash Baisya,Bangladesh,5,56,56,2608,2452,59,4/16,41.55,5.64,44.2,2,0
KM Jarvis,Zimbabwe,10,49,49,2362,2088,58,4/17,36.0,5.3,40.7,2,0
HK Olonga,Zimbabwe,8,50,49,2059,1977,58,6/19,34.08,5.76,35.5,2,2
GC Small,England,5,53,53,2793,1942,58,4/31,33.48,4.17,48.1,1,0
Mudassar Bukhari,NL,7,46,46,2036,1601,57,3/17,28.08,4.71,35.7,0,0
MJ Clarke,Australia,12,245,106,2585,2146,57,5/35,37.64,4.98,45.3,1,1
GRJ Matthews,Australia,9,59,54,2808,2004,57,3/27,35.15,4.28,49.2,0,0
DS Mohanty,India,4,45,44,1996,1662,57,4/56,29.15,4.99,35.0,1,0
T Mupariwa,Zimbabwe,12,40,40,2019,1690,57,4/39,29.64,5.02,35.4,3,0
Arshad Khan,Pakisthan,13,58,56,2823,1948,56,4/33,34.78,4.14,50.4,1,0
R Telemachus,South Africa,8,37,37,1918,1565,56,4/43,27.94,4.89,34.2,1,0
XJ Doherty,Australia,5,60,56,2792,2224,55,4/28,40.43,4.77,50.7,3,0
AF Giles,England,8,62,57,2856,2069,55,5/57,37.61,4.34,51.9,0,1
Tauseef Ahmed,Pakisthan,8,70,67,3250,2247,55,4/38,40.85,4.14,59.0,1,0
RN ten Doeschate,NL,5,33,33,1580,1327,55,4/31,24.12,5.03,28.7,3,0
JR Thomson,Australia,10,50,50,2696,1942,55,4/67,35.3,4.32,49.0,1,0
JV Coney,New Zealand,8,88,70,2931,2039,54,4/46,37.75,4.17,54.2,1,0
N Pradeep,Sri Lanka,7,42,40,1996,1998,54,4/31,37.0,6.0,36.9,2,0
