YK Pathan,India,5,22,17,50.5,0,438,13,2/22,33.69,8.61,23.4,0,0
Pavandeep Singh,MAL,0,10,10,35.1,0,249,13,3/12,19.15,7.08,16.2,0,0
RW Price,Zimbabwe,4,16,16,61.3,4,378,13,2/6,29.07,6.14,28.3,0,0
SK Raina,India,12,78,27,58.1,0,442,13,2/6,34.0,7.59,26.8,0,0
PADLR Sandakan,Sri Lanka,2,14,14,55.0,1,400,13,4/23,30.76,7.27,25.3,1,0
S Snater,NL,1,13,12,34.5,0,337,13,3/42,25.92,9.67,16.0,0,0
Tamoor Sajjad,QAT,0,12,12,43.2,1,309,13,3/11,23.76,7.13,20.0,0,0
RN ten Doeschate,NL,11,22,10,35.0,0,245,13,3/23,18.84,7.0,16.1,0,0
Usman Shinwari,Pakisthan,6,16,16,51.0,0,424,13,3/31,32.61,8.31,23.5,0,0
Arafat Sunny,Bangladesh,2,10,10,31.0,0,230,12,2/17,19.16,7.41,15.5,0,0
Baljit Singh,ITA,0,8,7,23.0,0,127,12,4/20,10.58,5.52,11.5,1,0
TS Chisoro,Zimbabwe,3,12,12,46.0,1,316,12,3/17,26.33,6.86,23.0,0,0
PWH de Silva,Sri Lanka,0,8,8,25.4,0,204,12,3/21,17.0,7.94,12.8,0,0
GDR Eranga,CAN,0,9,9,31.5,1,204,12,3/19,17.0,6.4,15.9,0,0
MG Erasmus,NAM,0,16,10,32.1,0,171,12,3/12,14.25,5.31,16.0,0,0
