A Symonds,Australia,4,14,11,4,337,85,48.14,199,169.34,0,2,2,33,10
N Davin,NAM,0,16,16,1,335,54,22.33,216,155.09,0,1,1,33,15
SA Edwards,NL,1,29,22,8,334,42,23.85,229,145.85,0,0,1,33,6
Asif Ali,Pakisthan,1,25,24,6,331,41,18.38,258,128.29,0,0,1,15,19
Faisal Javed,QAT,0,15,15,0,330,61,22.0,212,155.66,0,2,1,45,11
SR Thompson,Ireland,5,41,30,8,328,56,14.9,254,129.13,0,1,1,23,14
RJ Nicol,New Zealand,3,21,19,0,327,58,17.21,296,110.47,0,2,2,33,11
RR Rossouw,South Africa,2,15,14,3,327,78,29.72,237,137.97,0,2,2,29,12
Aamir Kaleem,OMAN,4,25,22,4,325,46,18.05,306,106.2,0,0,4,26,9
LE Bosman,South Africa,4,14,14,1,323,94,24.84,219,147.48,0,3,2,27,20
Anshuman Rath,HKG,2,20,19,2,321,44,18.88,344,93.31,0,0,1,31,2
N Vanua,Papua New Guinea,4,25,22,8,321,54,22.92,211,152.13,0,1,4,12,23
TM Head,Australia,2,16,15,3,319,48,26.58,245,130.2,0,0,0,19,10
TL Seifert,New Zealand,1,19,18,1,316,84,18.58,228,138.59,0,1,2,22,21
BDH Stevens,JER,0,17,17,1,316,44,19.75,315,100.31,0,0,1,30,6
GJ Delany,Ireland,0,17,15,3,314,89,26.16,206,152.42,0,2,0,28,12
N Nipiko,VAN,0,14,14,2,312,62,26.0,297,105.05,0,2,1,16,13
N Pooran,West Indies,3,16,16,3,312,58,24.0,247,126.31,0,2,1,24,17
R Powell,West Indies,2,23,18,3,311,54,20.73,250,124.4,0,2,1,26,13
Virandeep Singh,MAL,0,12,12,0,311,57,25.91,309,100.64,0,1,1,27,7
CR Brathwaite,West Indies,8,41,27,6,310,37,14.76,274,113.13,0,0,3,13,22
HH Pandya,India,3,40,25,6,310,33,16.31,210,147.61,0,0,2,18,19
S Vesawkar,NEPAL,5,17,16,3,310,40,23.84,313,99.04,0,0,0,25,7
ML Hayden,Australia,2,9,9,3,308,73,51.33,214,143.92,0,4,0,37,13
NJ Ferraby,JER,0,14,14,1,303,81,23.3,257,117.89,0,1,2,38,2
Tamoor Sajjad,QAT,0,12,11,2,301,68,33.44,216,139.35,0,1,1,24,14
NL McCullum,New Zealand,9,63,41,15,299,36,11.5,297,100.67,0,0,4,19,8
RR Sarwan,West Indies,3,18,16,3,298,59,22.92,286,104.19,0,2,1,19,6
L Siaka,Papua New Guinea,4,26,22,2,296,39,14.8,271,109.22,0,0,4,26,7
Kamran Khan,QAT,0,14,14,1,295,52,22.69,220,134.09,0,2,0,26,17
R Mutumbami,Zimbabwe,4,22,19,4,294,54,19.6,251,117.13,0,1,1,19,15
